id,projectCode,title,agency,ministry,category,state,approvalDate,startDate,targetDoC,revisedDoC,originalCostCr,revisedCostCr,spentCr,physicalProgress,financialProgress,costOverrunCr,costOverrunPct,delayMonths,riskScore,trustScore,status,statusLabel,divergenceGap
18,701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,06/2022,05/2023,03/2026,06/2026,480.0,480.0,348.2,100.0,72.54,0.0,0.0,3,10,90,delayed,Watchlist (Amber),27.46
19,701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,06/2023,11/2023,03/2026,09/2026,887.0,887.0,587.22,78.71,66.2,0.0,0.0,6,10,90,delayed,Watchlist (Amber),12.51
20,612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Sikkim,11/2023,12/2023,06/2026,06/2027,323.26,323.26,87.61,36.14,27.1,0.0,0.0,12,10,90,delayed,Watchlist (Amber),9.04
21,611602,"Modernization of Chennai Airport, Phase II, Part 2",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Tamil Nadu,05/2018,06/2023,07/2025,12/2026,1207.0,1207.0,331.85,46.0,27.49,0.0,0.0,17,25,75,delayed,Watchlist (Amber),18.51
22,701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Uttar Pradesh,07/2024,07/2024,07/2027,07/2027,2869.65,2869.65,746.93,33.0,26.03,0.0,0.0,0,0,99,on-track,On Track (Green),6.97
23,701122,Development of New Integrated Civil Enclave at Agra Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Uttar Pradesh,06/2024,07/2024,07/2026,11/2026,579.0,579.0,224.58,44.94,38.79,0.0,0.0,4,10,90,delayed,Watchlist (Amber),6.15
24,611495,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,West Bengal,08/2024,09/2024,03/2027,03/2027,1549.0,1549.0,548.3,27.9,35.4,0.0,0.0,0,0,99,on-track,On Track (Green),-7.5
25,612791,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,West Bengal,03/2023,12/2023,10/2025,08/2026,328.3,328.3,153.52,73.5,46.76,0.0,0.0,10,10,90,delayed,Watchlist (Amber),26.74
26,615820,TIKAK EXTENSION OCP,INVALID CO.,Ministry of Coal,Coal,Assam,07/2022,07/2022,07/2031,07/2031,159.77,159.77,112.69,89.73,70.53,0.0,0.0,0,0,99,on-track,On Track (Green),19.2
27,615821,TIRAP OCP,INVALID CO.,Ministry of Coal,Coal,Assam,11/2022,11/2022,11/2030,11/2030,289.46,289.46,105.66,5.0,36.5,0.0,0.0,0,20,80,delayed,Watchlist (Amber),-31.5
28,400144,PORDA CHIMTAPANI OCP [10 MTY],SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,12/2020,12/2020,03/2029,03/2029,2310.12,2310.12,118.97,11.81,5.15,0.0,0.0,0,0,99,on-track,On Track (Green),6.66
29,400149,BAROUD OC EXPANSION [3.0-10.0M,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,08/2020,08/2020,03/2029,03/2029,2309.8,2309.8,1039.65,55.95,45.01,0.0,0.0,0,0,99,on-track,On Track (Green),10.94
30,400354,DIPKA EXPANSION OCP [40 MTY],SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,12/2020,12/2020,03/2029,03/2029,5241.4,5241.4,2941.23,39.34,56.12,0.0,0.0,0,10,90,on-track,On Track (Green),-16.78
31,400424,GEVRA OC [70 MTY],SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,03/2016,03/2016,03/2023,03/2027,11816.4,11816.4,7825.46,78.48,66.23,0.0,0.0,48,40,60,critical,High Risk (Critical),12.25
32,613798,AMERA OC RCE [1.0 MTY],SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,02/2015,02/2015,03/2026,03/2026,335.97,335.97,91.91,42.47,27.36,0.0,0.0,0,0,99,on-track,On Track (Green),15.11
33,613799,AMGAON OC RCE [1.0 MTY],SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,07/2015,07/2015,03/2026,03/2026,316.11,316.11,193.0,78.86,61.05,0.0,0.0,0,0,99,on-track,On Track (Green),17.81
34,613800,JAGANNATHPUR OC RCE PROJECT,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,07/2016,07/2016,03/2025,03/2027,459.49,459.49,290.4,96.15,63.2,0.0,0.0,24,25,75,delayed,Watchlist (Amber),32.95
35,613801,MAHAMAYA OCP [1.50 MTY],SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,05/2018,05/2018,03/2026,03/2028,410.26,410.26,188.72,54.6,46.0,0.0,0.0,24,25,75,delayed,Watchlist (Amber),8.6
36,615191,KATKONA RO UG MINE,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,01/2023,01/2023,03/2029,03/2029,329.21,329.21,62.01,2.01,18.84,0.0,0.0,0,10,90,on-track,On Track (Green),-16.83
37,616234,PELMA OC MDO,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,10/2022,10/2022,03/2033,03/2033,1725.04,1725.04,16.71,23.75,0.97,0.0,0.0,0,0,99,on-track,On Track (Green),22.78
38,617287,KUSMUNDA OC EXPANSION PROJECT,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,11/2024,11/2024,03/2030,03/2030,4516.88,4516.88,847.19,23.75,18.76,0.0,0.0,0,0,99,on-track,On Track (Green),4.99
39,617288,MANIKPUR OC EXPANSION PROJECT,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,01/2025,01/2025,03/2029,03/2029,382.61,382.61,138.87,21.29,36.3,0.0,0.0,0,10,90,on-track,On Track (Green),-15.01
40,619171,RPR FOR DURGAPUR OCP 10 MTY,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,09/2025,09/2025,03/2032,03/2032,2415.91,2415.91,2.99,0.01,0.12,0.0,0.0,0,0,99,on-track,On Track (Green),-0.11
41,619172,MADANNAGAR OCP 12 MTY - MDO,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,12/2024,12/2024,03/2033,03/2033,1859.19,1859.19,0.45,0.0,0.02,0.0,0.0,0,0,99,on-track,On Track (Green),-0.02
42,400018,HURA C OCP,Eastern Coal Fields Limited [ECL],Ministry of Coal,Coal,Jharkhand,08/2022,08/2022,03/2029,03/2029,859.41,859.41,455.95,63.3,53.05,0.0,0.0,0,0,99,on-track,On Track (Green),10.25
43,400073,KONAR EXPANSION OCP,CCL - CIL,Ministry of Coal,Coal,Jharkhand,01/2022,01/2022,03/2032,03/2032,674.65,674.65,175.59,50.78,26.03,0.0,0.0,0,0,99,on-track,On Track (Green),24.75
44,400074,KARO EXPANSION OCP,CCL - CIL,Ministry of Coal,Coal,Jharkhand,01/2022,01/2022,03/2029,03/2029,849.31,849.31,237.61,23.28,27.98,0.0,0.0,0,0,99,on-track,On Track (Green),-4.7
45,400136,SANGHMITRA OC,CCL - CIL,Ministry of Coal,Coal,Jharkhand,03/2024,03/2024,03/2032,03/2032,2660.0,2660.0,17.03,16.77,0.64,0.0,0.0,0,0,99,on-track,On Track (Green),16.13
46,400138,CHANDRAGUPT OCP,CCL - CIL,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2032,03/2032,973.5,973.5,772.12,25.11,79.31,0.0,0.0,0,20,80,delayed,Watchlist (Amber),-54.2
47,400139,KOTRE BASANTPUR PACHMO OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2032,03/2032,625.4,625.4,456.48,45.78,72.99,0.0,0.0,0,20,80,delayed,Watchlist (Amber),-27.21
48,400142,Pachwara South Coal Block,NLC India Limited,Ministry of Coal,Coal,Jharkhand,03/2016,11/2019,09/2028,09/2028,2242.9,2242.9,1432.45,87.0,63.87,0.0,0.0,0,0,99,on-track,On Track (Green),23.13
49,400150,RPR MAGADH EXP OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2028,03/2028,6964.33,6964.33,2299.77,39.42,33.02,0.0,0.0,0,0,99,on-track,On Track (Green),6.4
50,400151,NORTH URIMARI EXPANSION OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,07/2021,07/2021,03/2029,03/2029,634.3,634.3,598.34,68.9,94.33,0.0,0.0,0,20,80,delayed,Watchlist (Amber),-25.43
51,400153,EPR ROHINI - KARKETTA OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,01/2021,01/2021,03/2028,03/2028,995.57,995.57,85.34,24.02,8.57,0.0,0.0,0,0,99,on-track,On Track (Green),15.45
52,400154,EPR PUNDI OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,11/2020,11/2020,03/2027,03/2027,639.6,639.6,14.78,11.24,2.31,0.0,0.0,0,0,99,on-track,On Track (Green),8.93
53,400155,EPR ASHOK OC,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,05/2021,05/2021,03/2031,03/2031,2821.07,2821.07,186.02,27.74,6.59,0.0,0.0,0,0,99,on-track,On Track (Green),21.15
54,400156,EPR AMRAPALI OCP,CCL - CIL,Ministry of Coal,Coal,Jharkhand,02/2020,02/2020,03/2028,03/2028,4983.57,4983.57,1838.82,43.69,36.9,0.0,0.0,0,0,99,on-track,On Track (Green),6.79
55,400160,RAJRAPPA RCE OCP,CCL - CIL,Ministry of Coal,Coal,Jharkhand,12/2009,12/2009,03/2016,03/2027,510.85,510.85,488.71,75.61,95.67,0.0,0.0,132,50,50,critical,High Risk (Critical),-20.06
56,400172,CHITRA EAST OC,ECL - CIL,Ministry of Coal,Coal,Jharkhand,08/2018,08/2018,03/2026,03/2028,513.99,513.99,276.0,53.03,53.7,0.0,0.0,24,25,75,delayed,Watchlist (Amber),-0.67
57,400352,JHARKHAND-LAIYO OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2031,03/2031,654.87,654.87,1.97,32.45,0.3,0.0,0.0,0,0,99,on-track,On Track (Green),32.15
58,400425,MOONIDIH XV SEAM UG,BCCL - CIL,Ministry of Coal,Coal,Jharkhand,08/2011,08/2011,03/2019,09/2026,1230.27,1230.27,800.25,84.02,65.05,0.0,0.0,90,40,60,critical,High Risk (Critical),18.97
59,611864,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,Bharat Coking Coal Limited (BCCL),Ministry of Coal,Coal,Jharkhand,01/2023,01/2023,03/2030,03/2030,4011.85,4011.85,414.97,31.16,10.34,0.0,0.0,0,0,99,on-track,On Track (Green),20.82
60,613808,MURAIDIH UG PROJECT,BCCL - CIL,Ministry of Coal,Coal,Jharkhand,02/2011,02/2011,04/2014,12/2026,339.87,339.87,191.14,70.47,56.24,0.0,0.0,152,40,60,critical,High Risk (Critical),14.23
61,615349,TAPIN SOUTH EXPN,CCL - CIL,Ministry of Coal,Coal,Jharkhand,11/2020,11/2020,03/2028,03/2028,230.41,230.41,22.02,23.67,9.56,0.0,0.0,0,0,99,on-track,On Track (Green),14.11
62,615822,SIRKA OC,CCL - CIL,Ministry of Coal,Coal,Jharkhand,05/2020,05/2020,03/2028,03/2028,183.18,183.18,89.92,56.47,49.09,0.0,0.0,0,0,99,on-track,On Track (Green),7.38
63,615843,TETARIAKHAR OC,CCL - CIL,Ministry of Coal,Coal,Jharkhand,11/2019,11/2019,03/2025,03/2027,232.64,232.64,50.82,30.06,21.84,0.0,0.0,24,25,75,delayed,Watchlist (Amber),8.22
64,616225,CHUPERBHITA SIMLONG OCP MDO 6,ECL - CIL,Ministry of Coal,Coal,Jharkhand,12/2023,12/2023,03/2037,03/2037,979.08,979.08,0.0,0.05,0.0,0.0,0.0,0,0,99,on-track,On Track (Green),0.05
65,616236,JARANGDIH EXPN. OCP 1.5 MTY,CCL - CIL,Ministry of Coal,Coal,Jharkhand,02/2020,02/2020,03/2029,03/2029,372.06,372.06,85.6,32.99,23.01,0.0,0.0,0,0,99,on-track,On Track (Green),9.98
66,616253,BLOCK E OCP,BCCL - CIL,Ministry of Coal,Coal,Jharkhand,03/2024,03/2024,03/2029,03/2029,5850.83,5850.83,20.32,4.18,0.35,0.0,0.0,0,0,99,on-track,On Track (Green),3.83
67,617416,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.",Bharat Coking Coal Limited [BCCL],Ministry of Coal,Coal,Jharkhand,06/2025,07/2025,12/2028,12/2028,5940.47,5940.47,520.75,34.0,8.77,0.0,0.0,0,0,99,on-track,On Track (Green),25.23
68,617764,North Dhadu Western Part OCP,NLC India Limited [NLCIL],Ministry of Coal,Coal,Jharkhand,10/2023,12/2023,03/2029,03/2029,1354.2,1354.2,233.77,40.0,17.26,0.0,0.0,0,0,99,on-track,On Track (Green),22.74
69,400148,AMADAND OCP[4.0MTY],SECL - CIL,Ministry of Coal,Coal,Madhya Pradesh,03/2016,03/2016,03/2021,03/2027,869.44,869.44,325.09,75.15,37.39,0.0,0.0,72,40,60,critical,High Risk (Critical),37.76
70,400162,BLOCK B EXPANSION [3.5 TO 8.0,NCL - CIL,Ministry of Coal,Coal,Madhya Pradesh,07/2019,07/2019,03/2023,03/2027,998.71,998.71,545.34,51.31,54.6,0.0,0.0,48,40,60,critical,High Risk (Critical),-3.29
71,400321,NIGAHI EXPANSION [15 TO 25 MTP,NCL - CIL,Ministry of Coal,Coal,Madhya Pradesh,11/2020,11/2020,03/2025,03/2028,1729.68,1729.68,985.35,53.73,56.97,0.0,0.0,36,25,75,critical,High Risk (Critical),-3.24
72,613802,KANCHAN OC EXP,SECL - CIL,Ministry of Coal,Coal,Madhya Pradesh,12/2014,12/2014,03/2026,03/2028,371.04,371.04,157.9,58.2,42.56,0.0,0.0,24,25,75,delayed,Watchlist (Amber),15.64
73,613803,JHIRIA WEST OCP [1.5 MTY],SECL - CIL,Ministry of Coal,Coal,Madhya Pradesh,01/2024,01/2024,03/2029,03/2029,366.94,366.94,37.19,41.29,10.14,0.0,0.0,0,0,99,on-track,On Track (Green),31.15
74,613804,RPR TAWA-III UG 0.84 MTY,WCL - CIL,Ministry of Coal,Coal,Madhya Pradesh,12/2021,12/2021,03/2027,03/2027,314.09,314.09,17.9,17.78,5.7,0.0,0.0,0,0,99,on-track,On Track (Green),12.08
75,615185,AMALGAMATED DHANKASA & JAMUNIA,WCL - CIL,Ministry of Coal,Coal,Madhya Pradesh,09/2022,09/2022,03/2027,03/2027,399.2,399.2,117.2,67.13,29.36,0.0,0.0,0,0,99,on-track,On Track (Green),37.77
76,615187,RPR OF VISHNUPURI UG TO OC,WCL - CIL,Ministry of Coal,Coal,Madhya Pradesh,11/2022,11/2022,03/2029,03/2029,220.62,220.62,0.0,11.2,0.0,0.0,0.0,0,0,99,on-track,On Track (Green),11.2
77,615194,URDHAN EXPANSION OC COST PLUS,WCL - CIL,Ministry of Coal,Coal,Madhya Pradesh,07/2022,01/2023,03/2031,03/2031,206.88,206.88,50.69,2.02,24.5,0.0,0.0,0,10,90,on-track,On Track (Green),-22.48
78,615195,SHARDA UG MINE,WCL - CIL,Ministry of Coal,Coal,Madhya Pradesh,07/2022,09/2023,03/2028,03/2028,166.25,166.25,5.93,9.39,3.57,0.0,0.0,0,0,99,on-track,On Track (Green),5.82
79,615206,GANDHIGRAM UG MINE,WCL - CIL,Ministry of Coal,Coal,Madhya Pradesh,08/2019,08/2019,03/2026,03/2027,414.15,414.15,28.54,56.88,6.89,0.0,0.0,12,10,90,delayed,Watchlist (Amber),49.99
80,619032,JAYANT EXPN. [20 TO 38 MTPA],NCL - CIL,Ministry of Coal,Coal,Madhya Pradesh,02/2025,02/2025,03/2032,03/2032,25560.48,25560.48,333.3,2.1,1.3,0.0,0.0,0,0,99,on-track,On Track (Green),0.8
81,619053,RPR FOR RAMPUR BATURA OCP,SECL - CIL,Ministry of Coal,Coal,Madhya Pradesh,05/2025,05/2025,03/2030,03/2030,1604.69,1604.69,75.28,0.3,4.69,0.0,0.0,0,0,99,on-track,On Track (Green),-4.39
82,400033,BHATADI EXPANSION OC,WCL - CIL,Ministry of Coal,Coal,Maharashtra,02/2020,05/2022,03/2028,03/2028,580.61,580.61,112.17,34.25,19.32,0.0,0.0,0,0,99,on-track,On Track (Green),14.93
83,400177,AMALGAMATED YEKONA I & YEKONA,WCL - CIL,Ministry of Coal,Coal,Maharashtra,08/2015,08/2015,03/2025,03/2027,727.28,727.28,564.25,80.77,77.58,0.0,0.0,24,25,75,delayed,Watchlist (Amber),3.19
84,400178,DINESH[MAKARDHOKRA-III] OC,WCL - CIL,Ministry of Coal,Coal,Maharashtra,02/2020,02/2020,03/2027,03/2027,822.88,822.88,792.0,40.63,96.25,0.0,0.0,0,20,80,delayed,Watchlist (Amber),-55.62
85,400353,DHUPTALA OC [SASTI UG TO OC ],WCL - CIL,Ministry of Coal,Coal,Maharashtra,02/2019,10/2021,03/2028,03/2028,711.01,711.01,174.66,19.02,24.57,0.0,0.0,0,0,99,on-track,On Track (Green),-5.55
86,615184,SAONER UG MINE -1 EXPANSION 1.,WCL - CIL,Ministry of Coal,Coal,Maharashtra,01/2022,01/2022,03/2028,03/2028,228.64,228.64,157.01,69.33,68.67,0.0,0.0,0,0,99,on-track,On Track (Green),0.66
87,615186,SASTI EXPANSION OPENCAST,WCL - CIL,Ministry of Coal,Coal,Maharashtra,08/2020,08/2020,03/2026,03/2027,319.04,319.04,155.37,32.21,48.7,0.0,0.0,12,20,80,delayed,Watchlist (Amber),-16.49
88,615188,NEW MAJRI UG TO OC 3 MTY COST,WCL - CIL,Ministry of Coal,Coal,Maharashtra,05/2019,09/2022,03/2027,03/2027,402.27,402.27,67.81,24.17,16.86,0.0,0.0,0,0,99,on-track,On Track (Green),7.31
89,615189,MAKARDHOKRA EXPN OC 4.9 MTY,WCL - CIL,Ministry of Coal,Coal,Maharashtra,06/2022,06/2022,03/2026,03/2027,361.87,361.87,104.17,12.2,28.79,0.0,0.0,12,20,80,delayed,Watchlist (Amber),-16.59
90,615190,SINGHORI DEEP OC MIN 2.0 MTY,WCL - CIL,Ministry of Coal,Coal,Maharashtra,05/2022,05/2022,03/2029,03/2029,335.75,335.75,53.94,9.64,16.07,0.0,0.0,0,0,99,on-track,On Track (Green),-6.43
91,615192,GOKUL EXTENSION OC MINE,WCL - CIL,Ministry of Coal,Coal,Maharashtra,04/2021,04/2021,03/2026,03/2027,309.58,309.58,62.31,8.44,20.13,0.0,0.0,12,20,80,delayed,Watchlist (Amber),-11.69
92,615199,KOLGAON EXPANSION DEEP OC MINE,WCL - CIL,Ministry of Coal,Coal,Maharashtra,01/2023,09/2023,03/2027,03/2027,198.71,198.71,25.08,3.93,12.62,0.0,0.0,0,0,99,on-track,On Track (Green),-8.69
93,615330,BALLARPUR NORTH WEST OC MINE,WCL - CIL,Ministry of Coal,Coal,Maharashtra,12/2022,12/2022,03/2029,03/2029,360.81,360.81,26.97,5.35,7.47,0.0,0.0,0,0,99,on-track,On Track (Green),-2.12
94,615331,GADEGAON OC 3 MTY,WCL - CIL,Ministry of Coal,Coal,Maharashtra,10/2023,10/2023,03/2030,03/2030,497.41,497.41,95.69,2.19,19.24,0.0,0.0,0,10,90,on-track,On Track (Green),-17.05
95,615914,GHONSA EXPANSION DEEP OC MINE,WCL - CIL,Ministry of Coal,Coal,Maharashtra,03/2021,04/2021,03/2029,03/2029,184.71,184.71,15.72,12.98,8.51,0.0,0.0,0,0,99,on-track,On Track (Green),4.47
96,615916,AMLG GAURI PAUNI EXPANSION OC,WCL - CIL,Ministry of Coal,Coal,Maharashtra,04/2024,04/2024,03/2030,03/2030,1225.21,1225.21,92.02,4.21,7.51,0.0,0.0,0,0,99,on-track,On Track (Green),-3.3
97,615917,GAURIDEEP/GAURI CENTRAL OCP 7.,WCL - CIL,Ministry of Coal,Coal,Maharashtra,08/2023,06/2024,03/2030,03/2030,973.07,973.07,1.55,2.31,0.16,0.0,0.0,0,0,99,on-track,On Track (Green),2.15
98,615918,RPR OF BHANEGAON OC,WCL - CIL,Ministry of Coal,Coal,Maharashtra,02/2017,09/2022,03/2028,03/2028,405.2,405.2,43.16,16.06,10.65,0.0,0.0,0,0,99,on-track,On Track (Green),5.41
99,615919,N. EXTN. MUNGOLI NIRGUDA D OCP,WCL - CIL,Ministry of Coal,Coal,Maharashtra,06/2024,06/2024,03/2029,03/2029,1024.91,1024.91,218.26,27.92,21.3,0.0,0.0,0,0,99,on-track,On Track (Green),6.62
100,615982,NILJAI EXPANSION DEEP OCP,WCL - CIL,Ministry of Coal,Coal,Maharashtra,08/2016,08/2016,03/2022,03/2027,319.75,319.75,196.82,79.83,61.55,0.0,0.0,60,40,60,critical,High Risk (Critical),18.28
101,616044,UKNI DEEP OC MINE -COST PLUS,WCL - CIL,Ministry of Coal,Coal,Maharashtra,11/2018,01/2019,03/2021,03/2027,237.06,237.06,168.91,94.57,71.25,0.0,0.0,72,40,60,critical,High Risk (Critical),23.32
102,616050,AMALGAMATED INDER-KAMPTEE DEEP,WCL - CIL,Ministry of Coal,Coal,Maharashtra,09/2018,09/2018,03/2024,03/2027,235.9,235.9,128.49,98.97,54.47,0.0,0.0,36,25,75,critical,High Risk (Critical),44.5
